[ 2017-05-08T10:52:51+08:00 ] /install/ | INFO: Tag[ app_init ] --START--
[ 2017-05-08T10:52:51+08:00 ] /Install/index.php?s=/Install/index | INFO: Tag[ app_end ] --END-- [ RunTime:0.000209s ]
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | INFO: Tag[ app_init ] --START--
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | INFO: Run XSS Behavior [ RunTime:0.000220s ]
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | INFO: Tag[ app_init ] --END-- [ RunTime:0.000290s ]
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | INFO: Tag[ route_check ] --START--
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | INFO: Run CheckRoute Behavior [ RunTime:0.000310s ]
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000351s ]
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | INFO: Tag[ app_begin ] --START--
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000232s ]
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000257s ]
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | INFO: Tag[ view_template ] --START--
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | INFO: Run LocationTemplate Behavior [ RunTime:0.000238s ]
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000269s ]
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | INFO: Tag[ view_parse ] --START--
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 208 行.
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 428 行.
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 428 行.
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 428 行.
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 428 行.
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 428 行.
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 208 行.
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 428 行.
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 428 行.
[ 2017-05-08T10:52:52+08:00 ] /Install/index.php?s=/Install/setup/lang/zh_cn&1494211972364364 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 428 行.
